Source,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,reviewer1,reviewer2,Include?,Reason,broiler?,Marine,Aquatic,Fish,Chicken,Tadpoles,Hen,Penguin
Web of Science,"Judice, Wagner A.S.; Mottram, Jeremy C.; Coombs, Graham H.; Juliano, Maria A.; Juliano, Luiz",Specific negative charges in cysteine protease isoforms of Leishmania mexicana are highly influential on the substrate binding and hydrolysis.,2005,Molecular and Biochemical Parasitology,144,1,36-43,,"JUDICE, WAGNER ALVES DE SOUZ/0000-0002-1608-9105; Mottram, Jeremy/0000-0001-5574-3766",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Shimada, Tetsuo; Hatakeyama, Shouji; Miyabayashi, Yoshihiko; Kurechi, Masayuki",Effects of climatic conditions on the northward expansion of the wintering range of the greater white-fronted goose in Japan.,2005,Ornithological Science,4,2,155-159,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Hueppop, Kathrin; Hueppop, Ommo",An atlas of bird ringing on the island of Helgoland. Part 3: Changes of spring and autumn migration times from 1960 to 2001.,2005,Vogelwarte,43,4,217-248,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Fiedler, Wolfgang; Bosch, Stefan; Globig, Anja; Bairlein, Franz",Background information about avian Influenza and hints for ornithologists.,2005,Vogelwarte,43,4,249-260,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Bernal, Diego; Donley, Jeanine M.; Shadwick, Robert E.; Syme, Douglas A.",Mammal-like muscles power swimming in a cold-water shark.,2005,Nature (London),437,7063,1349-1352,,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Camargo, Arley; Naya, Daniel E.; Canavero, Andres; da Rosa, Ines; Maneyro, Raul","Seasonal activity and the body size-fecundity relationship in a population of Physalaemus gracilis (Boulenger, 1883) (Anura, Leptodactylidae) from Uruguay.",2005,Annales Zoologici Fennici,42,5,513-521,,"Camargo Bentaberry, Arley/0000-0001-7734-8679; Maneyro, Raul/0000-0003-3440-8701",,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Badyaev, Alexander V.; Schwabl, Hubert; Young, Rebecca L.; Duckworth, Renee A.; Navara, Kristen J.; Parlow, A.F.",Adaptive sex differences in growth of pre-ovulation oocytes in a passerine bird.,2005,Proceedings of the Royal Society Biological Sciences Series B,272,1577,2165-2172,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Wikelski, Martin",Evolution of body size in Galapagos marine iguanas.,2005,Proceedings of the Royal Society Biological Sciences Series B,272,1576,1985-1993,,,,C,D,No,Irrelevant (incorrect species),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
Web of Science,"Ferkin, Michael H.; Leonard, Stuart T.",Self-grooming by rodents in social and sexual contexts.,2005,Acta Zoologica Sinica,51,5,772-779,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Kamel, Stephanie Jill; Mrosovsky, N.","Repeatability of nesting preferences in the hawksbill sea turtle, Eretmochelys imbricata, and their fitness consequences.",2005,Animal Behaviour,70,4,819-828,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Murphy-Klassen, Heather M.; Underwood, Todd J.; Sealy, Spencer G.; Czyrnyj, Ashleigh A.","Long-term trends in spring arrival dates of migrant birds at Delta Marsh, Manitoba, in relation to climate change.",2005,Auk,122,4,1130-1148,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Shoo, Luke P.; Williams, Stephen E.; Hero, Jean-Marc",Climate warming and the rainforest birds of the Australian Wet Tropics: Using abundance data as a sensitive predictor of change in total population size.,2005,Biological Conservation,125,3,335-343,,"Williams, Stephen/0000-0002-2510-7408; ",,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Sarasola, J.H.; Negro, J.J.",Hunting success of wintering Swainson's hawks: environmental effects on timing and choice of foraging method.,2005,Canadian Journal of Zoology,83,10,1353-1359,,"Negro, Juan/0000-0002-8697-5647; CSIC, EBD Donana/0000-0003-4318-6602",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Forchhammer, Mads C.; Post, Eric; Berg, Thomas B.G.; Hoye, Toke T.; Schmidt, Niels M.",Local-scale and short-term herbivore-plant spatial dynamics reflect influences of large-scale cumate.,2005,Ecology (Washington D C),86,10,2644-2651,,"Hoye, Toke T./0000-0001-5387-3284; Schmidt, Niels Martin/0000-0002-4166-6218",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Della Rocca, Francesca; Vignoli, Leonard; Bologna, Marco A.","The reproductive biology of Salamandrina terdigitata (Caudata, Salamandridae).",2005,Herpetological Journal,15,4,273-278,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Diaz, Jose A.; Cabezas-Diaz, Sara; Salvador, Alfredo",Seasonal changes in the thermal environment do not affect microhabitat selection by Psammodromus algirus lizards.,2005,Herpetological Journal,15,4,295-298,,"Diaz, Jose A./0000-0001-6047-5065; ",,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Rose, G.A.","Capelin (Mallotus villosus) distribution and climate: a sea ""canary"" for marine ecosystem change.",2005,ICES Journal of Marine Science,62,7,1524-1530,,,,A,D,No,Irrelevant (incorrect species),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
